Executing stage: GPzInformer @ 2024-08-29 13:13:26.431589
Inserting handle into data store.  output_col_remapper_1: ./output_col_remapper_1.pq, inform_GPz
ngal: 30944
training model...
Iter	 logML/n 		 Train RMSE		 Train RMSE/n		 Valid RMSE		 Valid MLL		 Time    
   1	-2.2249223e-01	 3.1021423e-01	-2.1211030e-01	 3.5962096e-01	[-2.1473906e-01]	 5.3696918e-01
   2	-5.3021230e-03	 2.1841756e-01	 3.6972329e-02	 4.0652865e-01	[ 2.7395579e-02]	 1.3812900e-01
   3	 4.3149090e-02	 2.0724948e-01	 7.6035081e-02	 4.4860491e-01	[ 5.6983125e-02]	 2.8307104e-01
   4	 1.3772746e-01	 2.1334527e-01	 1.8226781e-01	 5.2034039e-01	[ 1.4855989e-01]	 1.3904524e-01
   5	 1.6867599e-01	 2.2792157e-01	 2.2000570e-01	 5.9755934e-01	[ 1.6013493e-01]	 1.4331388e-01
   6	 1.8310721e-01	 2.3201719e-01	 2.1986074e-01	 5.7362830e-01	[ 1.6117695e-01]	 1.3736200e-01
   7	 1.8588453e-01	 2.3543531e-01	 2.2048013e-01	 5.7818360e-01	  1.5796768e-01 	 1.4284015e-01
   8	 3.0200692e-01	 2.1224025e-01	 3.1918413e-01	 4.2015946e-01	[ 2.7901966e-01]	 2.8123689e-01
   9	 4.7457224e-01	 2.0509168e-01	 4.9436277e-01	 4.0906995e-01	[ 4.5300923e-01]	 1.4468098e-01
  10	 5.4047503e-01	 2.0476421e-01	 5.5963407e-01	 3.6793786e-01	[ 5.0639832e-01]	 1.4249516e-01
  11	 6.8191257e-01	 2.0567280e-01	 6.9676877e-01	 3.1726772e-01	[ 6.4899792e-01]	 1.4186001e-01
  12	 7.2415613e-01	 2.0882212e-01	 7.3899743e-01	 3.0927121e-01	[ 6.8499042e-01]	 1.4158487e-01
  13	 9.2772245e-01	 2.1636805e-01	 9.4439305e-01	 2.9854715e-01	[ 8.6157854e-01]	 1.4097929e-01
  14	 1.0409890e+00	 2.3454130e-01	 1.0593846e+00	 3.0247195e-01	[ 9.3041809e-01]	 1.4029574e-01
  15	 1.0723452e+00	 2.2937168e-01	 1.0893424e+00	 3.0302171e-01	[ 9.7358315e-01]	 1.4148998e-01
  16	 1.1036056e+00	 2.3363487e-01	 1.1208576e+00	 3.0491314e-01	[ 1.0032006e+00]	 1.4320469e-01
  17	 1.1227949e+00	 2.3737398e-01	 1.1402808e+00	 3.0914970e-01	[ 1.0317497e+00]	 1.4301610e-01
  18	 1.1298082e+00	 2.3524163e-01	 1.1468808e+00	 3.0787832e-01	[ 1.0471082e+00]	 1.4128995e-01
  19	 1.1324568e+00	 2.3552390e-01	 1.1492964e+00	 3.0819961e-01	[ 1.0558219e+00]	 1.4604998e-01
  20	 1.1340388e+00	 2.3637455e-01	 1.1507810e+00	 3.0848959e-01	[ 1.0601320e+00]	 1.4186406e-01
