Executing stage: GPzInformer @ 2024-08-02 00:05:13.233820
Inserting handle into data store.  output_col_remapper_1: ./output_col_remapper_1.pq, inform_GPz
ngal: 195
training model...
Iter	 logML/n 		 Train RMSE		 Train RMSE/n		 Valid RMSE		 Valid MLL		 Time    
   1	 1.1780677e+00	 3.2144347e-02	 1.9185900e+00	 6.8334301e-02	[ 1.6707155e+00]	 1.0149002e-02
   2	 1.3230247e+00	 2.7159807e-02	 2.1740073e+00	 1.0664214e-01	  1.3170541e+00 	 4.2259693e-03
   3	 1.4167946e+00	 2.5102954e-02	 2.2416487e+00	 1.0738437e-01	  1.3619734e+00 	 2.1910667e-03
   4	 1.4439339e+00	 2.4234837e-02	 2.2456471e+00	 1.0621027e-01	  1.5118385e+00 	 2.2778511e-03
   5	 1.4719774e+00	 2.3518067e-02	 2.2817854e+00	 1.0096858e-01	  1.5476985e+00 	 2.2659302e-03
   6	 1.4968713e+00	 2.2793962e-02	 2.3345799e+00	 8.3779106e-02	  1.5809864e+00 	 2.3179054e-03
   7	 1.5132464e+00	 2.2523552e-02	 2.3394132e+00	 8.8196009e-02	  1.5364680e+00 	 2.3467541e-03
   8	 1.5225440e+00	 2.2304593e-02	 2.3413698e+00	 8.4435105e-02	  1.5728776e+00 	 2.3889542e-03
   9	 1.5312977e+00	 2.2073323e-02	 2.3506251e+00	 7.7255748e-02	  1.6348424e+00 	 2.4290085e-03
  10	 1.5508055e+00	 2.1638282e-02	 2.3827090e+00	 5.5545327e-02	[ 1.6946179e+00]	 2.4640560e-03
  11	 1.5648595e+00	 2.1226021e-02	 2.3974129e+00	 4.9670809e-02	  1.6611680e+00 	 2.5410652e-03
  12	 1.5770916e+00	 2.1022806e-02	 2.4015290e+00	 5.4950338e-02	  1.6582893e+00 	 2.5057793e-03
  13	 1.5868315e+00	 2.0844423e-02	 2.4142625e+00	 5.2168433e-02	  1.6308567e+00 	 2.5029182e-03
  14	 1.5876715e+00	 2.0495943e-02	 2.4428221e+00	 4.3543331e-02	  1.5524143e+00 	 2.4986267e-03
  15	 1.5998624e+00	 2.0355395e-02	 2.4467754e+00	 4.9468467e-02	  1.5261658e+00 	 2.4940968e-03
  16	 1.6102594e+00	 2.0266551e-02	 2.4425524e+00	 4.9506696e-02	  1.5746436e+00 	 2.5207996e-03
  17	 1.6150670e+00	 2.0254779e-02	 2.4406014e+00	 4.6156149e-02	  1.6128085e+00 	 2.5258064e-03
  18	 1.6220140e+00	 2.0080131e-02	 2.4507032e+00	 4.5196271e-02	  1.5810562e+00 	 2.5050640e-03
  19	 1.6307157e+00	 1.9847598e-02	 2.4648240e+00	 5.2631913e-02	  1.4603864e+00 	 2.4929047e-03
  20	 1.6371432e+00	 1.9725550e-02	 2.4706886e+00	 5.4542720e-02	  1.4315636e+00 	 2.4950504e-03
  21	 1.6425124e+00	 1.9624277e-02	 2.4759991e+00	 5.7654790e-02	  1.3924245e+00 	 2.4869442e-03
  22	 1.6490249e+00	 1.9482480e-02	 2.4822133e+00	 6.0000573e-02	  1.3096333e+00 	 2.5050640e-03
  23	 1.6505512e+00	 1.9443443e-02	 2.4893861e+00	 7.0448887e-02	  1.1469234e+00 	 2.5022030e-03
  24	 1.6557285e+00	 1.9358351e-02	 2.4911962e+00	 6.5800060e-02	  1.1999051e+00 	 2.5148392e-03
  25	 1.6583870e+00	 1.9327710e-02	 2.4918902e+00	 6.5201382e-02	  1.2070985e+00 	 2.5010109e-03
  26	 1.6611952e+00	 1.9277979e-02	 2.4941275e+00	 6.5058388e-02	  1.1982917e+00 	 2.4960041e-03
  27	 1.6655274e+00	 1.9173315e-02	 2.4979848e+00	 6.7449923e-02	  1.1653080e+00 	 2.4969578e-03
  28	 1.6681393e+00	 1.9090211e-02	 2.5041388e+00	 7.0575920e-02	  1.1075802e+00 	 2.4991035e-03
  29	 1.6717733e+00	 1.9015842e-02	 2.5073473e+00	 7.0499119e-02	  1.1092609e+00 	 2.5041103e-03
  30	 1.6738212e+00	 1.9001050e-02	 2.5078832e+00	 6.9553674e-02	  1.1307774e+00 	 2.6769638e-03
  31	 1.6772193e+00	 1.8947847e-02	 2.5109045e+00	 6.9112226e-02	  1.1320740e+00 	 2.6578903e-03
  32	 1.6814382e+00	 1.8856338e-02	 2.5157565e+00	 6.9288127e-02	  1.1301810e+00 	 2.5560856e-03
  33	 1.6848566e+00	 1.8728991e-02	 2.5224084e+00	 6.9238925e-02	  1.1068658e+00 	 2.5410652e-03
  34	 1.6885715e+00	 1.8651429e-02	 2.5262623e+00	 7.1136280e-02	  1.0970466e+00 	 2.5269985e-03
  35	 1.6916125e+00	 1.8614005e-02	 2.5285490e+00	 7.1611746e-02	  1.0963698e+00 	 2.5207996e-03
  36	 1.6955065e+00	 1.8540304e-02	 2.5320839e+00	 7.1041727e-02	  1.1104225e+00 	 2.5079250e-03
  37	 1.6976976e+00	 1.8491548e-02	 2.5348854e+00	 7.2443839e-02	  1.1062855e+00 	 4.5721531e-03
  38	 1.7005114e+00	 1.8413325e-02	 2.5383455e+00	 7.1608283e-02	  1.1268676e+00 	 2.5010109e-03
  39	 1.7025330e+00	 1.8378946e-02	 2.5400679e+00	 7.1607374e-02	  1.1370451e+00 	 2.5043488e-03
  40	 1.7046750e+00	 1.8346946e-02	 2.5413645e+00	 7.3225205e-02	  1.1462598e+00 	 2.4979115e-03
  41	 1.7054206e+00	 1.8334300e-02	 2.5418487e+00	 8.0764414e-02	  1.1285133e+00 	 2.5417805e-03
  42	 1.7078391e+00	 1.8288837e-02	 2.5435579e+00	 7.8252933e-02	  1.1404829e+00 	 2.5439262e-03
