Executing stage: GPzInformer @ 2024-08-02 00:13:22.358236
Inserting handle into data store.  output_col_remapper_1: ./output_col_remapper_1.pq, inform_GPz
ngal: 32089
training model...
Iter	 logML/n 		 Train RMSE		 Train RMSE/n		 Valid RMSE		 Valid MLL		 Time    
   1	 1.2567132e+00	 5.6680565e-02	 1.2711504e+00	 5.7174957e-02	[ 1.2680719e+00]	 7.5089478e-01
   2	 1.7179893e+00	 4.3185062e-02	 1.7371464e+00	 4.3254560e-02	[ 1.7352984e+00]	 6.4649391e-01
   3	 1.8366598e+00	 3.9718322e-02	 1.8616652e+00	 4.5353844e-02	[ 1.8357101e+00]	 4.3298769e-01
   4	 1.9004791e+00	 3.6777285e-02	 1.9246345e+00	 4.1045065e-02	[ 1.8938184e+00]	 2.1631312e-01
   5	 1.9521858e+00	 3.4598949e-02	 1.9760539e+00	 3.5422815e-02	[ 1.9547016e+00]	 2.1590614e-01
   6	 1.9951611e+00	 3.3256929e-02	 2.0159595e+00	 3.6036292e-02	[ 1.9928438e+00]	 2.1301603e-01
   7	 2.0262354e+00	 3.2609490e-02	 2.0470565e+00	 3.7207934e-02	[ 2.0182025e+00]	 2.1381879e-01
   8	 2.0489858e+00	 3.1941301e-02	 2.0682532e+00	 3.6510498e-02	[ 2.0447184e+00]	 2.1485114e-01
   9	 2.0631281e+00	 3.1858605e-02	 2.0826032e+00	 3.6929506e-02	[ 2.0572335e+00]	 2.5766873e-01
  10	 2.0782940e+00	 3.1735570e-02	 2.0962114e+00	 3.6866101e-02	[ 2.0756923e+00]	 2.1558595e-01
  11	 2.0863640e+00	 3.2244664e-02	 2.1025916e+00	 3.8974258e-02	[ 2.0823484e+00]	 2.1216774e-01
  12	 2.0907845e+00	 3.1823146e-02	 2.1061927e+00	 3.7765423e-02	[ 2.0882612e+00]	 2.1433806e-01
  13	 2.0950177e+00	 3.1571326e-02	 2.1099149e+00	 3.7369193e-02	[ 2.0933928e+00]	 2.1732807e-01
  14	 2.1004943e+00	 3.1234505e-02	 2.1145430e+00	 3.6906067e-02	[ 2.0986229e+00]	 2.1595883e-01
  15	 2.1047766e+00	 3.1171133e-02	 2.1178451e+00	 3.7263951e-02	  2.0982494e+00 	 2.1493578e-01
  16	 2.1072582e+00	 3.1072615e-02	 2.1199841e+00	 3.7506771e-02	[ 2.0989183e+00]	 2.1924400e-01
  17	 2.1106659e+00	 3.0964605e-02	 2.1229366e+00	 3.8109145e-02	  2.0983974e+00 	 2.1960878e-01
  18	 2.1143730e+00	 3.0737948e-02	 2.1263671e+00	 3.8263551e-02	  2.0983802e+00 	 2.1824002e-01
  19	 2.1181309e+00	 3.0661911e-02	 2.1298112e+00	 3.9003770e-02	  2.0976456e+00 	 2.2044301e-01
  20	 2.1201291e+00	 3.0482701e-02	 2.1316233e+00	 3.8518362e-02	[ 2.1004009e+00]	 2.1851230e-01
  21	 2.1222112e+00	 3.0388368e-02	 2.1336901e+00	 3.8419134e-02	[ 2.1029931e+00]	 2.1843410e-01
  22	 2.1265999e+00	 3.0203996e-02	 2.1384550e+00	 3.7942278e-02	[ 2.1092020e+00]	 2.1917176e-01
  23	 2.1305777e+00	 2.9916857e-02	 2.1420813e+00	 3.6623754e-02	[ 2.1144977e+00]	 2.1920991e-01
  24	 2.1340319e+00	 2.9476131e-02	 2.1457915e+00	 3.5048737e-02	[ 2.1176782e+00]	 2.1724701e-01
  25	 2.1381732e+00	 2.9004501e-02	 2.1504500e+00	 3.3327224e-02	[ 2.1205236e+00]	 2.1893191e-01
  26	 2.1591379e+00	 2.8278162e-02	 2.1733374e+00	 3.1435186e-02	[ 2.1339922e+00]	 2.1733189e-01
  27	 2.1744319e+00	 2.8256189e-02	 2.1891988e+00	 3.1066068e-02	[ 2.1543056e+00]	 4.3641901e-01
  28	 2.1848725e+00	 2.7925178e-02	 2.1994887e+00	 3.2211710e-02	[ 2.1713598e+00]	 4.3255711e-01
  29	 2.2094303e+00	 2.7248427e-02	 2.2243483e+00	 3.4204871e-02	[ 2.1959546e+00]	 2.1571016e-01
  30	 2.2421166e+00	 2.8283957e-02	 2.2575747e+00	 3.4495360e-02	[ 2.2288264e+00]	 2.1656585e-01
  31	 2.2807123e+00	 2.7595342e-02	 2.2967598e+00	 2.7951580e-02	[ 2.2707119e+00]	 2.1859884e-01
  32	 2.3029433e+00	 2.5724505e-02	 2.3200587e+00	 2.8043517e-02	[ 2.2803284e+00]	 2.1897602e-01
  33	 2.3094433e+00	 2.8249712e-02	 2.3263682e+00	 3.1644377e-02	[ 2.2920462e+00]	 2.1975708e-01
  34	 2.3418826e+00	 2.5082268e-02	 2.3584848e+00	 2.6351320e-02	[ 2.3247727e+00]	 2.2204423e-01
  35	 2.3489956e+00	 2.4981027e-02	 2.3655608e+00	 2.6547550e-02	[ 2.3313020e+00]	 2.1954823e-01
  36	 2.3560038e+00	 2.5085645e-02	 2.3726011e+00	 2.6065981e-02	[ 2.3402606e+00]	 2.2023606e-01
  37	 2.3757170e+00	 2.5719435e-02	 2.3924325e+00	 2.5379623e-02	[ 2.3655204e+00]	 2.2071600e-01
  38	 2.3946014e+00	 2.7098658e-02	 2.4113258e+00	 2.5287725e-02	[ 2.3880125e+00]	 2.1804500e-01
  39	 2.4128822e+00	 2.6222336e-02	 2.4295500e+00	 2.5153356e-02	[ 2.4055325e+00]	 2.2074604e-01
  40	 2.4237282e+00	 2.6209227e-02	 2.4407576e+00	 2.5445284e-02	  2.4038874e+00 	 2.1987510e-01
  41	 2.4436929e+00	 2.4314119e-02	 2.4606056e+00	 2.8856269e-02	[ 2.4268062e+00]	 2.1720600e-01
